大陆,#genre#
台視,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488998.m3u8
台視（备）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476982.m3u8
台視（备2）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/507781.m3u8
大愛電視,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477082.m3u8
中視 HD,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476983.m3u8
中視（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488999.m3u8
霹雳台湾,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488941.m3u8
華視,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476985.m3u8
華視（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488997.m3u8
公視,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476984.m3u8
公視（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/489000.m3u8
幸福空間居家台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488986.m3u8
好消息,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476227.m3u8
原住民頻道,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476228.m3u8
客家電視台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476229.m3u8
探索頻道,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476277.m3u8
tlc旅遊台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488939.m3u8
動物星球,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477088.m3u8
CN卡通,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476247.m3u8
迪士尼1,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/495450.m3u8
Momo親子台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477060.m3u8
momo亲子台（备）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/508248.m3u8
東森幼幼,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476246.m3u8
緯來綜合,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477086.m3u8
八大第1台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477071.m3u8
八大第一台（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/489004.m3u8
八大綜合台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477069.m3u8
八大綜合台（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/489003.m3u8
三立台湾台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477050.m3u8
三立台湾台（备）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/481765.m3u8
三立台湾（备2）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/503982.m3u8
三立都會台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476232.m3u8
三立都會台（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/489023.m3u8
三立都会 备,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/518334.m3u8
東森綜合,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476987.m3u8
東森超視,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476234.m3u8
東森購物2台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488988.m3u8
momo购物2,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/495449.m3u8
中天綜合,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477084.m3u8
中天综合（备）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/620132.m3u8
中天娱乐 ,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/518696.m3u8
中天娛樂,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476996.m3u8
東森戲劇,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476994.m3u8
東森戲劇台（備）,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/489002.m3u8
八大戏剧台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488934.m3u8
TVBS歡樂台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477068.m3u8
緯來戲劇,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/477067.m3u8
JET綜合,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476239.m3u8
東森購物3台,http://107.167.15.250:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/488989.m3u8
